Team,Division,Team Name,Organization,City,State,Country
2088D,Technology,Sabotage,Western Mechatronics,Calgary,Alberta,Canada
2088S,Engineering,Straitis,Western Mechatronics,Calgary,Alberta,Canada
2148A,Math,Technical Difficulties,Greenville Middle School,Greenville,Texas,United States
2208C,Arts,Colegio San Jose,Colegio San Jose,San Juan,,Puerto Rico
2242B,Opportunity,Silver Wolves,Municipio de Salinas,Salinas,,Puerto Rico
2242D,Science,MPINETICS,Municipio de Salinas,Salinas,,Puerto Rico
2463A,Technology,Golden Hawks Intermediate,Nanakuli Intermediate School,Waianae,Hawaii,United States
2567M,Engineering,Porta-Botz! - Maverick,Portage High School PLTW/Robotics,Portage,Indiana,United States
2588A,Math,The DropBears,5D college,chatswood,,Australia
2616V,Arts,Vortex,CHERRY HILL HIGH SCHOOL EAST,Cherry Hill,New Jersey,United States
2627E,Opportunity,Demotortized,BASIS SCOTTSDALE,scottsdale,Arizona,United States
2668A,Science,Bat-o-bots,Batobots,Austin,Texas,United States
2775A,Technology,Jackson Area Robotics,Jackson Area Robotics,Jackson,Tennessee,United States
2822A,Engineering,Spartan Design,STAUFFER MIDDLE,Downey,California,United States
2822E,Math,Spartan Design,STAUFFER MIDDLE,Downey,California,United States
3028Y,Arts,Owlbots,SCHOOL FOR THE TALENTED & GIFTED IN PLEASANT GROVE,Dallas,Texas,United States
3141R,Opportunity,Random Bits,Gross Catholic Robotics,Bellevue,Nebraska,United States
3142C,Science,Paideia Robotics,The Paideia School,Atlanta,Georgia,United States
3168X,Technology,Rubixcoders,Skywalker Robotics,Auckland,,New Zealand
3177A,Engineering,3177A,Valley Christian,Cupertino,California,United States
3324B,Math,Supernova Calamity,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
3324H,Arts,Supernova Hyperspeeders,SCIENCE ACADEMY STEM MAGNET,Los Angeles,California,United States
3324K,Opportunity,Supernova Khaotics,SCIENCE ACADEMY STEM MAGNET,Los Angeles,California,United States
3324M,Science,Supernova Meta,SCIENCE ACADEMY STEM MAGNET,Los Angeles,California,United States
3324U,Technology,Supernova Hydra,SCIENCE ACADEMY STEM MAGNET,Los Angeles,California,United States
3324W,Engineering,Supernova Infinity,SCIENCE ACADEMY STEM MAGNET,Los Angeles,California,United States
3324X,Math,Supernova Phat Chickens,SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
3324Y,Arts,"Supernova Y, But Y?",SCIENCE ACADEMY STEM MAGNET,North Hollywood,California,United States
3333B,Opportunity,TechnoBacon,Marist Academy Middle School,Pontiac,Michigan,United States
3333M,Science,M Team,Marist Academy Middle School,Pontiac,Michigan,United States
3333X,Technology,X-treme Bot,NOTRE DAME PREPARATORY SCHOOL & MARIST ACADEMY,Pontiac,Michigan,United States
3590B,Engineering,Hawaiian Kids,Waialua High & Intermediate School,Waialua,Hawaii,United States
3723C,Math,Galvatron,Seoul Foreign School,Seoul,,South Korea
4004Y,Arts,Y-Not! 2.0,APACHE SCHOOLS,Apache,Oklahoma,United States
4073A,Opportunity,VEX JETS,JOE WALKER MIDDLE,Lancaster,California,United States
4073B,Science,VEX JETS,JOE WALKER MIDDLE,Lancaster,California,United States
4073G,Technology,VEX JETS,JOE WALKER MIDDLE,Lancaster,California,United States
4082A,Engineering,Rocket Robots,ST NICHOLAS CATHOLIC SCHOOL,Freedom,Wisconsin,United States
4082C,Math,Rocket Robots 2,ST NICHOLAS CATHOLIC SCHOOL,Freedom,Wisconsin,United States
4139A,Arts,Robot Of The Rings,Steam Labs Technology and Robotics Studio,bangkok,,Thailand
4233B,Opportunity,Berserkers,Scott County Middle Schools,Georgetown,Kentucky,United States
4233X,Science,The Unknowns,Scott County Middle Schools,Georgetown,Kentucky,United States
4275B,Technology,CCK-2,CMA Choi Cheung Kok Secondary School,NT,,Hong Kong
4275V,Engineering,CCK-4,CMA Choi Cheung Kok Secondary School,NT,,Hong Kong
4413Z,Math,WZ-Z,Guangzhou No.5 Middle School,Guangzhou,Guangdong,China
4461A,Arts,RoboColts,Ruth Fisher Middle School,Tonopah,Arizona,United States
4610D,Opportunity,the B team,Robot Revolution,Summit,New Jersey,United States
4610N,Science,just NO,Robot Revolution,summit,New Jersey,United States
4610Y,Technology,Flakey Celery,Robot Revolution,summit,New Jersey,United States
4810A,Engineering,3 Musketeers,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States
4810C,Math,Robo Axolotl,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States
4810D,Arts,Dark Mode,NORTH UNION MIDDLE SCHOOL,Richwood,Ohio,United States
4886H,Opportunity,Yogurt,Thetford Academy,Thetford,Vermont,United States
4886X,Science,X-factor,Thetford Academy,Thetford,Vermont,United States
5156G,Technology,Insert Text Here,York Middle School,York,Maine,United States
5233J,Engineering,Juggernauts,NRAI,Omaha,Nebraska,United States
5769B,Math,Disco Ducks,PICCOWAXEN MIDDLE SCHOOL,Newburg,Maryland,United States
5864E,Arts,Chicken attack,Macau Baptist College,Macau,,Macau
5868E,Opportunity,REVOLUTION MAKER,PUICHING MIDDLE SCHOOL MACAU,MACAU,,Macau
6047B,Science,Bioluminescence,WESTVIEW MIDDLE SCHOOL,Longmont,Colorado,United States
6047C,Technology,Chaos and Confusion,WESTVIEW MIDDLE SCHOOL,Longmont,Colorado,United States
6047D,Engineering,Don't Panic,WESTVIEW MIDDLE SCHOOL,Longmont,Colorado,United States
6047S,Math,Syborgz,WESTVIEW MIDDLE SCHOOL,Longmont,Colorado,United States
6096H,Arts,Spooder Bots,Stone Hill Middle School,Ashburn,Virginia,United States
6122C,Opportunity,JGEMS IT Dept,JANE GOODALL ENVIRONMENTAL MIDDLE CHARTER SCHOOL,salem,Oregon,United States
6199C,Science,WiredCats C,The Westminster Schools,Atlanta,Georgia,United States
6199D,Technology,WiredCats D,The Westminster Schools,Atlanta,Georgia,United States
6199E,Engineering,WiredCats E,The Westminster Schools,Atlanta,Georgia,United States
6210B,Math,HCS Eagles: Built Different,Heritage Christian School,Indianapolis,Indiana,United States
6293D,Arts,CROCS  - Team 4,PINECREST ACADEMY CHARTER MIDDLE SCHOOL,Miami,Florida,United States
6356D,Opportunity,Robozos,TRAIL RIDGE MIDDLE SCHOOL,Longmont,Colorado,United States
6364E,Science,Ghost,B G HUDSON MIDDLE,Sachse,Texas,United States
6446C,Technology,Royal Robotics 6446C,RANCHO DEL REY MIDDLE,Chula Vista,California,United States
6517A,Engineering,TRITONBOTS-A,EASTLAKE MIDDLE,Chula Vista,California,United States
6842N,Math,Nitro,PARK TUDOR SCHOOL,INDIANAPOLIS,Indiana,United States
7135B,Arts,Loyola Robotics - B,LOYOLA BLAKEFIELD,Towson,Maryland,United States
7135Z,Opportunity,The DONminators,Loyola Blakefield,Towson,Maryland,United States
7177B,Science,Iteration Happens Plan B,Iteration Happens,Stamping Ground,Kentucky,United States
7192F,Technology,The Masked Bandits,Windom Middle School,Windom,Minnesota,United States
7225Z,Engineering,Southland Borderbots,Southland Middle School,Adams,Minnesota,United States
7368M,Math,CCHS Nervous Breakdown,Covenant Christian High School,INDIANAPOLIS,Indiana,United States
7421E,Arts,Infinite Paradox,WESTBROOK INT,Houston,Texas,United States
7421W,Opportunity,Robotic Wolves,WESTBROOK INT,Houston,Texas,United States
7481B,Science,Red Rover,LEAGUE CITY INT,Houston,Texas,United States
7481C,Technology,CobraBots,LEAGUE CITY INT,Houston,Texas,United States
7481D,Engineering,AIMBOT,LEAGUE CITY INT,Houston,Texas,United States
7481E,Math,ElectroFrogs,LEAGUE CITY INT,Houston,Texas,United States
7481F,Arts,Hgeophrey,LEAGUE CITY INT,Houston,Texas,United States
7690F,Opportunity,7690F - FJH Metal Manipulators,FRUITVALE JUNIOR HIGH,Bakersfield,California,United States
7690S,Science,7690S - FJH Bootleg Wall-E,FRUITVALE JUNIOR HIGH,Bakersfield,California,United States
7690W,Technology,7690W - FJH Stumble Guys,FRUITVALE JUNIOR HIGH,Bakersfield,California,United States
7700C,Engineering,Rolling Robots,Rolling Robots,Los Angeles,California,United States
7700H,Math,Rolling Robots,Rolling Robots,Rolling Hills Estates,California,United States
7700K,Arts,Rolling Robots,Rolling Robots,Rolling Hills Estates,California,United States
7756A,Opportunity,XIN QI DIAN ROBOTICS LAB,Branch of Beijing Chen Jinglun Middle School,Beijing,Beijing,China
7784F,Science,C-Bots Ferocius Foxs,CAVELERO MID HIGH SCHOOL,Lake Stevens,Washington,United States
7830A,Technology,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States
7830C,Engineering,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States
7830K,Math,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States
7830N,Arts,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States
7830P,Opportunity,ACP Noble Knights,Arizona College Prep Middle School,Chandler,Arizona,United States
7831C,Science,"Not Mad, Just Disappointed",FRANK H HARRISON MIDDLE SCHOOL,Yarmouth,Maine,United States
7831F,Technology,"That's No Moon, It's a Flexwheel!",FRANK H HARRISON MIDDLE SCHOOL,Yarmouth,Maine,United States
7842F,Engineering,Robotics71 - F,Robotics71 - School District #71,Comox,British Columbia,Canada
7984C,Math,CMAss Gamma,CMA Secondary School,Kowloon,,Hong Kong
8076X,Arts,Death,Hwa Chong Institution,Singapore,,Singapore
8388F,Opportunity,Robotic Raptors,MERIDIANVILLE MIDDLE SCHOOL,Hazel Green,Alabama,United States
8481S,Science,Ski Patrol,Bridger Robotics,Bozeman,Montana,United States
8686G,Technology,Gorrillas,SEVIER MIDDLE,Greenville,South Carolina,United States
8686R,Engineering,Rex,SEVIER MIDDLE,Greenville,South Carolina,United States
8757B,Math,STEAM-ED Robotics,STEAM-Ed Robotics Tauranga,Tauranga,,New Zealand
8778X,Arts,X-Men,Platte City Middle School,PLATTE CITY,Missouri,United States
8778Y,Opportunity,The Autobots,PLATTE CITY MIDDLE,Platte City,Missouri,United States
8778Z,Science,YOLO McSwagon,PLATTE CITY MIDDLE,Platte City,Missouri,United States
8781A,Technology,OK Robotics,Olive Knolls Christian School,BAKERSFIELD,California,United States
8838A,Engineering,Robohawks - Robo Ramen,ORCHARD HILLS,Irvine,California,United States
